,ngram,age,words,lookup_index,child,length
0,AB,1.8,"('a', 'tree')",46,Alex (Providence),2
1,AA,1.8,"('aw', 'aw')",47,Alex (Providence),2
2,AA,1.8,"('Mama', 'Mama')",48,Alex (Providence),2
3,AB,1.8,"('no', 'one')",49,Alex (Providence),2
4,AA,1.8,"('two', 'two')",50,Alex (Providence),2
5,AA,1.9,"('wow', 'wow')",66,Alex (Providence),2
6,AA,1.9,"('pop', 'pop')",67,Alex (Providence),2
7,AA,1.9,"('pop', 'pop')",68,Alex (Providence),2
8,AA,1.9,"('wee', 'wee')",69,Alex (Providence),2
9,AA,1.9,"('pop', 'pop')",70,Alex (Providence),2
10,AA,1.9,"('wee', 'wee')",71,Alex (Providence),2
11,AB,1.9,"('bubble', 'wee')",72,Alex (Providence),2
12,AA,1.9,"('wee', 'wee')",73,Alex (Providence),2
13,AB,1.9,"('hi', 'there')",74,Alex (Providence),2
14,AA,1.9,"('pop', 'pop')",75,Alex (Providence),2
15,AA,1.9,"('pop', 'pop')",75,Alex (Providence),2
16,AAA,1.9,"('pop', 'pop', 'pop')",75,Alex (Providence),3
17,AA,1.9,"('wee', 'wee')",76,Alex (Providence),2
18,AB,1.9,"('wee', 'baby')",76,Alex (Providence),2
19,AAB,1.9,"('wee', 'wee', 'baby')",76,Alex (Providence),3
20,AA,1.9,"('pop', 'pop')",77,Alex (Providence),2
21,AA,1.9,"('pop', 'pop')",77,Alex (Providence),2
22,AA,1.9,"('pop', 'pop')",77,Alex (Providence),2
23,AAA,1.9,"('pop', 'pop', 'pop')",77,Alex (Providence),3
24,AAA,1.9,"('pop', 'pop', 'pop')",77,Alex (Providence),3
25,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",77,Alex (Providence),4
26,AA,1.9,"('pop', 'pop')",78,Alex (Providence),2
27,AA,1.9,"('pop', 'pop')",78,Alex (Providence),2
28,AA,1.9,"('pop', 'pop')",78,Alex (Providence),2
29,AA,1.9,"('pop', 'pop')",78,Alex (Providence),2
30,AAA,1.9,"('pop', 'pop', 'pop')",78,Alex (Providence),3
31,AAA,1.9,"('pop', 'pop', 'pop')",78,Alex (Providence),3
32,AAA,1.9,"('pop', 'pop', 'pop')",78,Alex (Providence),3
33,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",78,Alex (Providence),4
34,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",78,Alex (Providence),4
35,AA,1.9,"('pop', 'pop')",79,Alex (Providence),2
36,AA,1.9,"('pop', 'pop')",79,Alex (Providence),2
37,AA,1.9,"('pop', 'pop')",79,Alex (Providence),2
38,AA,1.9,"('pop', 'pop')",79,Alex (Providence),2
39,AAA,1.9,"('pop', 'pop', 'pop')",79,Alex (Providence),3
40,AAA,1.9,"('pop', 'pop', 'pop')",79,Alex (Providence),3
41,AAA,1.9,"('pop', 'pop', 'pop')",79,Alex (Providence),3
42,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",79,Alex (Providence),4
43,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",79,Alex (Providence),4
44,AA,1.9,"('pop', 'pop')",80,Alex (Providence),2
45,AA,1.9,"('pop', 'pop')",80,Alex (Providence),2
46,AA,1.9,"('pop', 'pop')",80,Alex (Providence),2
47,AA,1.9,"('pop', 'pop')",80,Alex (Providence),2
48,AA,1.9,"('pop', 'pop')",80,Alex (Providence),2
49,AAA,1.9,"('pop', 'pop', 'pop')",80,Alex (Providence),3
50,AAA,1.9,"('pop', 'pop', 'pop')",80,Alex (Providence),3
51,AAA,1.9,"('pop', 'pop', 'pop')",80,Alex (Providence),3
52,AAA,1.9,"('pop', 'pop', 'pop')",80,Alex (Providence),3
53,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",80,Alex (Providence),4
54,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",80,Alex (Providence),4
55,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",80,Alex (Providence),4
56,AA,1.9,"('pop', 'pop')",81,Alex (Providence),2
57,AA,1.9,"('pop', 'pop')",81,Alex (Providence),2
58,AA,1.9,"('pop', 'pop')",81,Alex (Providence),2
59,AA,1.9,"('pop', 'pop')",81,Alex (Providence),2
60,AA,1.9,"('pop', 'pop')",81,Alex (Providence),2
61,AAA,1.9,"('pop', 'pop', 'pop')",81,Alex (Providence),3
62,AAA,1.9,"('pop', 'pop', 'pop')",81,Alex (Providence),3
63,AAA,1.9,"('pop', 'pop', 'pop')",81,Alex (Providence),3
64,AAA,1.9,"('pop', 'pop', 'pop')",81,Alex (Providence),3
65,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",81,Alex (Providence),4
66,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",81,Alex (Providence),4
67,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",81,Alex (Providence),4
68,AA,1.9,"('pop', 'pop')",82,Alex (Providence),2
69,AA,1.9,"('pop', 'pop')",82,Alex (Providence),2
70,AA,1.9,"('pop', 'pop')",82,Alex (Providence),2
71,AA,1.9,"('pop', 'pop')",82,Alex (Providence),2
72,AA,1.9,"('pop', 'pop')",82,Alex (Providence),2
73,AAA,1.9,"('pop', 'pop', 'pop')",82,Alex (Providence),3
74,AAA,1.9,"('pop', 'pop', 'pop')",82,Alex (Providence),3
75,AAA,1.9,"('pop', 'pop', 'pop')",82,Alex (Providence),3
76,AAA,1.9,"('pop', 'pop', 'pop')",82,Alex (Providence),3
77,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",82,Alex (Providence),4
78,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",82,Alex (Providence),4
79,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",82,Alex (Providence),4
80,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
81,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
82,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
83,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
84,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
85,AA,1.9,"('pop', 'pop')",83,Alex (Providence),2
86,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
87,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
88,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
89,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
90,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
91,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
92,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
93,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
94,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
95,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
96,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
97,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
98,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
99,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
100,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
101,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
102,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
103,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
