,ngram,age,lookup_index,child,length
0,"('DET', 'NOUN')",1.8,46,Alex (Providence),2
1,"('INTJ', 'INTJ')",1.8,47,Alex (Providence),2
2,"('NOUN', 'NOUN')",1.8,48,Alex (Providence),2
3,"('DET', 'PRON')",1.8,49,Alex (Providence),2
4,"('NUM', 'NUM')",1.8,50,Alex (Providence),2
5,"('INTJ', 'INTJ')",1.9,66,Alex (Providence),2
6,"('NOUN', 'NOUN')",1.9,67,Alex (Providence),2
7,"('NOUN', 'NOUN')",1.9,68,Alex (Providence),2
8,"('INTJ', 'NOUN')",1.9,69,Alex (Providence),2
9,"('NOUN', 'NOUN')",1.9,70,Alex (Providence),2
10,"('INTJ', 'NOUN')",1.9,71,Alex (Providence),2
11,"('NOUN', 'NOUN')",1.9,72,Alex (Providence),2
12,"('INTJ', 'NOUN')",1.9,73,Alex (Providence),2
13,"('INTJ', 'ADV')",1.9,74,Alex (Providence),2
14,"('NOUN', 'NOUN')",1.9,75,Alex (Providence),2
15,"('NOUN', 'NOUN')",1.9,75,Alex (Providence),2
16,"('NOUN', 'NOUN', 'NOUN')",1.9,75,Alex (Providence),3
17,"('ADJ', 'ADJ')",1.9,76,Alex (Providence),2
18,"('ADJ', 'NOUN')",1.9,76,Alex (Providence),2
19,"('ADJ', 'ADJ', 'NOUN')",1.9,76,Alex (Providence),3
20,"('NOUN', 'NOUN')",1.9,77,Alex (Providence),2
21,"('NOUN', 'NOUN')",1.9,77,Alex (Providence),2
22,"('NOUN', 'NOUN')",1.9,77,Alex (Providence),2
23,"('NOUN', 'NOUN', 'NOUN')",1.9,77,Alex (Providence),3
24,"('NOUN', 'NOUN', 'NOUN')",1.9,77,Alex (Providence),3
25,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,77,Alex (Providence),4
26,"('NOUN', 'NOUN')",1.9,78,Alex (Providence),2
27,"('NOUN', 'NOUN')",1.9,78,Alex (Providence),2
28,"('NOUN', 'NOUN')",1.9,78,Alex (Providence),2
29,"('NOUN', 'NOUN')",1.9,78,Alex (Providence),2
30,"('NOUN', 'NOUN', 'NOUN')",1.9,78,Alex (Providence),3
31,"('NOUN', 'NOUN', 'NOUN')",1.9,78,Alex (Providence),3
32,"('NOUN', 'NOUN', 'NOUN')",1.9,78,Alex (Providence),3
33,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,78,Alex (Providence),4
34,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,78,Alex (Providence),4
35,"('NOUN', 'NOUN')",1.9,79,Alex (Providence),2
36,"('NOUN', 'NOUN')",1.9,79,Alex (Providence),2
37,"('NOUN', 'NOUN')",1.9,79,Alex (Providence),2
38,"('NOUN', 'NOUN')",1.9,79,Alex (Providence),2
39,"('NOUN', 'NOUN', 'NOUN')",1.9,79,Alex (Providence),3
